Id,PreferedAlbum,Vinyl,AvgTime,TicketInfo,Opinion,Concert,Age,VIP,Food,Drinks,FreePass
01/2362,Head Hunters,False,3.055,B/140/N,"Everything worked, yet nothing surprised me. (NYC12).",NYC12-5pm,22.0,False,170.0,1.0,True
04/0599,Bright Size Life,True,2.51,LB/124/N,"Solid gig—nothing magical, nothing awful. (NYC12).",NYC12-5pm,9.0,False,0.0,0.0,True
01/3223,Head Hunters,False,0.803,CB/523/N,"Guitars were sharp, but everything else felt rushed. (NYC12).",NYC12-5pm,,False,815.0,37.0,False
01/1966,Kind of Blue,False,0.568,A/81/XL,Feedback screamed louder than the guitars. Disaster. (FL16).,FL16-7pm,36.0,False,1427.0,1395.0,False
01/8850,Bright Size Life,False,0.034,B/580/XL,,NYC12-5pm,16.0,False,1299.0,0.0,False
03/0753,Kind of Blue,True,2.816,,World-class musicianship; I’d travel to see this again. (FL16).,FL16-7pm,42.0,False,0.0,0.0,True
03/5024,Head Hunters,False,2.898,CB/822/XL,Transcendent performance; the crowd moved like one. (NYC12).,NYC12-5pm,4.0,False,0.0,0.0,True
01/6976,Head Hunters,False,3.829,CB/1127/N,,NYC12-5pm,21.0,False,809.0,0.0,True
01/1154,Kind of Blue,True,2.883,A/43/N,"Not terrible, just forgettable and overhyped. (NYC12).",NYC12-5pm,25.0,False,0.0,0.0,True
01/4514,Head Hunters,True,3.396,CB/736/XL,Stunning vocals and immaculate mixing; pure concert bliss. (NYC12).,NYC12-5pm,16.0,False,0.0,0.0,True
02/2515,Kind of Blue,True,3.904,A/96/XL,"Set was fine; crowd cheered, I nodded along. (FL16).",FL16-7pm,18.0,False,0.0,0.0,True
01/5004,Kind of Blue,True,2.989,A/165/N,,NYC12-5pm,27.0,False,0.0,0.0,True
01/5387,Bright Size Life,False,0.091,PB/171/N,"Drums lagged, vocals cracked—worst concert I've sat through. (NYC12).",NYC12-5pm,48.0,False,588.0,158.0,False
01/5164,Kind of Blue,True,2.817,LT/201/XL,Perfect setlist and epic encore—worth every cent. (FL16).,FL16-7pm,27.0,False,0.0,0.0,True
01/1539,Kind of Blue,,3.946,RB/17/XL,Best show all year; every note landed perfectly. (FL16). Loved the Kind of Blue vibes.,FL16-7pm,32.0,False,3836.0,26.0,True
01/6313,Kind of Blue,False,0.864,PB/190/XL,Security chaos and flat playing made it miserable. (NYC12). Loved the Kind of Blue vibes.,NYC12-5pm,60.0,False,193.0,1994.0,False
01/7286,Bright Size Life,False,0.033,PB/226/N,"Drums lagged, vocals cracked—worst concert I've sat through. (NYC12).",NYC12-5pm,62.0,False,933.0,28.0,False
01/7060,Head Hunters,False,0.299,CB/1155/XL,They owned the stage; crowd sang every word. (NYC12). Loved the Head Hunters vibes.,NYC12-5pm,35.0,False,2329.0,1.0,False
01/0944,Head Hunters,False,0.567,CB/137/N,"They tried, yet the tempo kept slipping. (NYC12). Loved the Head Hunters vibes.",NYC12-5pm,16.0,False,1722.0,0.0,False
01/1817,Head Hunters,False,0.213,LB/349/XL,"Drums lagged, vocals cracked—worst concert I've sat through. (SF14). Loved the Head Hunters vibes.",SF14-7pm,16.0,False,150.0,520.0,False
01/8943,Head Hunters,False,0.224,LB/1730/XL,"Too loud, too messy; still had a few moments. (NYC12).",NYC12-5pm,22.0,False,4.0,645.0,False
01/3831,Bright Size Life,False,0.776,PB/123/XL,Stage banter dragged; music never fully landed. (NYC12). Loved the Bright Size Life vibes.,NYC12-5pm,73.0,False,989.0,68.0,False
01/4681,Kind of Blue,False,0.291,A/155/N,Ear-splitting mix and sloppy timing ruined the night. (FL16).,FL16-7pm,29.0,False,2754.0,8294.0,False
02/5886,Bright Size Life,True,0.039,B/373/N,Painfully off-key vocals; the crowd deserved refunds. (NYC12). Loved the Bright Size Life vibes.,NYC12-5pm,30.0,False,0.0,0.0,False
03/4446,Kind of Blue,True,3.655,A/175/XL,Poor lighting and thin sound dulled the show. (FL16).,FL16-7pm,59.0,False,0.0,0.0,True
03/2404,Kind of Blue,False,3.88,LT/86/XL,Excellent setlist; the encore was worth waiting for. (FL16).,FL16-7pm,36.0,False,6511.0,1218.0,True
04/3589,,True,2.794,CB/587/N,Venue transformed into magic; I’m still buzzing. (SF14).,SF14-7pm,5.0,False,0.0,0.0,True
